"Bldg No","Building Name","Func Code","Total GSF","Unit Cost $/GSF","Bldg NASF","Efficiency %","Non-GSF","State NASF","AAG_NASF","Year Const","Year Ren","Year Aqud","Replacement Value","Auxil Value","Value Rvsd as of","FQI","Elig for Cap","Renovation Cost","Auxil Reno$","Codes Own","Status","A110","A210","A220","A250","A310","A410","A420","A440","A510","A520","A523","A530","A540","A550","A560","A570","A580","A610","A620","A630","A640","A650","A660","A670","A680","A710","A720","A730","A740","A750","A760","A770","A800","A900","A050_070","A050","A060","A070","A090","A050_900","bldg_nasf","A010","A020","A030","A040","A010_030","NUSF","EFFIC_NUSF"
"=TEXT(001,""000"")","ENERGY PLANT","7","39,655","1823","3,462","9",,,,"1931","2005",,"$72,280,849","$0","1994","10","0.1","$7,228,085","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"3461.55",,,,,,,,,,,,,"3461.55","3,462",,"12321.03","17385.27",,"29706.3","33167.85","84"
"=TEXT(003,""000"")","SERVICE BUILDING","7","84,030","471","62,931","75","6349","4755.14",,"1940",,,"$39,566,768","$2,989,720","1994","73","0.73","$28,883,741","$2,182,496","UM","1",,,,,"43770.32",,,,,,,,,,,,,,,,"60.48",,,,,,"2247.98","1103.53",,,,,,,"15748.49","15748.49",,,,"62930.8","62,931","144.66","3559.12","6519.45","226.79","10223.23","73154.03","87"
"=TEXT(004,""000"")","RITCHIE COLISEUM","6","59,792","520","28,424","48","59659","28360.94",,"1932","1996",,"$31,117,000","$31,048,194","1994","25","0.25","$7,779,250","$7,762,048","UM","1",,,,,"711.31",,,,,"21347.21","5147.45",,,,,,,,,,,"605",,,,,,"612.82",,,,,,,,,,,,"28423.79","28,424","334.52","9925.44","6933.02","1605.31","17192.98","45616.77","76"
"=TEXT(006,""000"")","BUILDING 006","7","17,717","387","15,743","89","17716","15742.85",,"1957",,,"$6,849,477","$6,849,477","1994","73","0.73","$5,000,118","$5,000,118","UM","1",,,,,"15742.85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15742.85","15,743",,,"236.39",,"236.39","15979.24","90"
"=TEXT(007,""000"")","POCOMOKE BUILDING","7","30,046","533","18,931","63",,,,"1946","2013",,"$16,009,130","$0","1994","2","0.02","$320,183","$0","UM","1",,,,,"18177.33",,,,,,,,,,,,,,,,,,,,,"185.96",,,"567.87",,,,,,,,,,,"18931.16","18,931","190.57","6118.79","897.95",,"7207.31","26138.47","87"
"=TEXT(008,""000"")","ANNAPOLIS HALL","6","22,855","533","13,939","61","18936","11549.47",,"1988",,,"$12,177,617","$10,089,725","1994","73","0.73","$8,889,660","$7,365,499","UM","1",,,,,"10707.19","1513.31",,"183.22",,,,,,,,,,,,,,"768.17",,"251.52","516.02",,,,,,,,,,,,,,,"13939.43","13,939","81.74","4356.66","1219.7",,"5658.1","19597.53","86"
"=TEXT(009,""000"")","MEMORIAL CHAPEL","7","26,272","533","15,793","60",,,,"1953",,,"$13,998,046","$0","1994","73","0.73","$10,218,574","$0","UM","1",,,,,"2374.26",,,,,,,,,,,,,"12903.41",,,,"330.07",,,"185.57",,,,,,,,,,,,,,,"15793.31","15,793","27.43","4088.07","1129.53",,"5245.03","21038.34","80"
"=TEXT(010,""000"")","PATUXENT BUILDING","4","24,568","533","16,181","66",,,,"1990",,,"$13,090,338","$0","1994","73","0.73","$9,555,947","$0","UM","1",,,,,"11495.71",,,,,,,,,,,,,,,,,,,,,"4024.27",,"661.27",,,,,,,,,,,,"16181.25","16,181","38.94","2901.24","2166.35",,"5106.53","21287.78","87"
"=TEXT(011,""000"")","BUILDING 011","7","9,599","322","8,166","85","9599","8166.49",,"1968",,,"$3,092,516","$3,092,516","1994","73","0.73","$2,257,537","$2,257,537","UM","1",,,,,,,,,,,,,,,,,,,,"8166.49",,,,,,,,,,,,,,,,,,,,"8166.49","8,166",,"304.56",,,"304.56","8471.05","88"
"=TEXT(014,""000"")","HARFORD HALL","6","24,549","589","23,701","97","24549","23701",,"1944","1982",,"$14,449,075","$14,449,075","1994","73","0.73","$10,547,824","$10,547,824","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23701",,,,,,"23701","23,701",,"1036","0",,"1036","24737","101"
"=TEXT(015,""000"")","CALVERT HALL","6","35,764","589","27,276","76","35764","27276",,"1913","1984",,"$21,050,010","$21,050,010","1994","73","0.73","$15,366,508","$15,366,508","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27276",,,,,,"27276","27,276",,"1119","434",,"1553","28829","81"
"=TEXT(016,""000"")","BALTIMORE HALL","6","21,185","589","16,260","77","21185","16260",,"1920","1986",,"$12,469,088","$12,469,088","1994","73","0.73","$9,102,434","$9,102,434","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16260",,,,,,"16260","16,260",,"1328","154",,"1482","17742","84"
"=TEXT(017,""000"")","CECIL HALL","6","20,096","589","12,792","64","20096","12792",,"1959",,,"$11,828,123","$11,828,123","1994","73","0.73","$8,634,530","$8,634,530","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12792",,,,,,"12792","12,792","191","3569","758",,"4518","17310","86"
"=TEXT(019,""000"")","SATELLITE CENTRAL UTILITIES BUILDING (SCUB 1)","7","6,288","1425","0","0",,,,"1985",,,"$8,960,551","$0","1994","73","0.73","$6,541,202","$0","UM","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"341.26","5384.5",,"5725.76","5725.76","91"
